aaa,9888870,10139,144,248
aab,9496126,8014,95,261
aac,9141087,9664,286,531
aad,9866417,9453,32,101
aae,9702686,10415,45,74
aaf,9948478,8267,95,175
aag,9750211,10980,93,165
aba,9537440,9270,37,138
abb,9882370,10872,69,170
abc,9999868,7537,89,168
abd,9899426,7844,35,61
abe,9906535,8641,36,111
abf,9574765,9401,150,266
abg,9635280,8016,101,186
aca,9918193,8898,283,442
acb,9992299,8114,200,366
acc,9845718,9153,141,260
acd,9991879,8426,214,332
ace,9947980,9500,706,1192
acf,9953002,6155,165,292
acg,9786811,9040,73,235
ada,9984557,8968,222,363
adb,9707058,8585,8,20
adc,9705757,9733,58,119
add,9915190,7839,14,46
ade,9962823,9516,56,159
adf,9917691,7728,353,544
adg,9990513,8984,186,337
aea,9992992,9146,104,213
aeb,9965868,7869,95,160
aec,9985538,9564,220,423
aed,9561233,8342,264,434
aee,9639248,9180,88,188
aef,9720209,9492,153,274
aeg,9732923,8892,25,61
afa,9407598,8217,49,115
afb,9959832,9976,224,288
afc,9933045,9043,7,26
afd,9423158,10391,107,218
afe,9563390,7781,103,170
aff,9815015,10502,6,20
afg,9847056,9847,51,106
aga,9998613,9010,7,29
agb,9883561,9579,188,332
agc,9869906,7469,75,230
agd,9923704,8655,131,244
age,9860728,8918,33,91
agf,9794217,9950,114,188
agg,9920525,8900,184,302
baa,9942842,8655,202,427
bab,9904561,11082,97,176
bac,9505604,7457,177,313
bad,9738776,8070,169,241
bae,9457997,9283,96,206
baf,9904502,8022,16,53
bag,9998870,8663,16,28
bba,9496445,9217,62,168
bbb,9733890,8792,8,23
bbc,9802643,8191,115,248
bbd,9916746,9421,64,102
bbe,9544714,7610,252,357
bbf,9172091,8670,64,159
bbg,9404533,11611,82,169
bca,9765325,10139,197,314
bcb,9827709,7529,192,384
bcc,9756191,9144,144,226
bcd,9710062,9474,185,373
bce,9971180,9796,44,118
bcf,9768942,9389,22,80
bcg,9986918,7903,12,33
bda,9955011,8806,33,99
bdb,9935996,8834,459,1005
bdc,9573337,8171,129,231
bdd,9766218,8181,37,108
bde,9853149,9920,10,33
bdf,9780633,8888,12,47
bdg,9976214,7626,39,113
bea,9736756,9047,15,47
beb,9889563,7935,54,136
bec,9989376,7821,407,572
bed,9821791,8100,17,44
bee,9911043,8588,278,748
bef,9922778,10077,53,229
beg,9940577,9545,19,50
bfa,9819237,10401,54,80
bfb,9938016,8906,230,412
bfc,9457919,9485,311,467
bfd,9996454,8915,118,202
bfe,9620750,10119,10,30
bff,9822012,10468,139,258
bfg,9822162,9706,130,371
bga,9906576,10000,214,353
bgb,9826605,11999,108,248
bgc,9998494,9873,171,242
bgd,9501189,9132,20,54
bge,9854234,9022,61,96
bgf,9912249,7608,96,215
bgg,9907294,8310,20,57
caa,9913977,8867,23,61
cab,9802893,8565,121,226
cac,9867142,8788,82,165
cad,9954603,8053,655,1306
cae,9924071,8168,55,140
caf,9611340,7455,122,241
cag,9987425,8882,22,50
cba,9994581,7784,65,90
cbb,9829046,12004,102,244
cbc,9768698,7483,105,202
cbd,9996987,6979,11,56
cbe,9855346,9814,19,65
cbf,9816445,9741,74,103
cbg,9954188,10665,22,78
cca,9992257,8688,131,254
ccb,9935204,9822,71,156
ccc,9945891,8484,210,302
ccd,9608595,9358,102,198
cce,9977300,9031,82,145
ccf,9957135,9481,52,127
ccg,9969834,6757,10,26
cda,9912438,9093,255,357
cdb,9832269,9651,64,195
cdc,9666421,8941,185,251
cdd,9858665,9609,69,178
cde,9733952,8967,93,192
cdf,9915727,8060,8,26
cdg,9870119,9908,179,254
cea,9996585,9775,5,10
ceb,9970663,8372,241,533
cec,9904151,9381,105,202
ced,9981648,7274,257,379
cee,9905939,10130,155,296
cef,9862661,9384,145,265
ceg,9707941,9519,49,132
cfa,9974531,8126,298,391
cfb,9925993,12233,176,381
cfc,9730968,8037,211,419
cfd,9560725,9040,75,229
cfe,9869410,8332,89,225
cff,9884716,9453,50,102
cfg,9856634,8715,161,262
cga,9963613,8528,122,192
cgb,9984612,11059,104,245
cgc,9658359,8398,178,404
cgd,9827576,9503,6,14
cge,9641394,8078,213,444
cgf,9884968,7556,19,60
cgg,9709601,8456,112,230
daa,9960969,9211,41,76
dab,9986549,9459,17,43
dac,9524435,10938,141,230
dad,9928680,7196,77,127
dae,9851895,8409,88,296
daf,9957928,7826,37,75
dag,9869087,10374,249,374
dba,9974156,7890,5,5
dbb,9631305,8913,258,497
dbc,9826207,9168,86,133
dbd,9810677,8679,390,645
dbe,9851285,8981,65,157
dbf,9526533,9814,11,26
dbg,9894608,8732,155,268
dca,9976290,9432,110,201
dcb,9871865,10866,174,350
dcc,9993315,8426,17,37
dcd,9976926,9446,232,353
dce,9946537,8324,208,323
dcf,9984098,6911,313,625
dcg,9871971,9535,158,359
dda,9942282,9113,175,387
ddb,9980308,10113,139,394
ddc,9747092,7258,160,273
ddd,9943110,9636,172,257
dde,9877384,9461,115,224
ddf,9977164,7085,5,9
ddg,9696269,9248,15,119
dea,9952653,11060,26,64
deb,9979511,9810,53,96
dec,9985573,9025,111,236
